,Title,Artist,Release Year,Genius_Link
0,Goodnight Irene,Gordon Jenkins & The Weavers,1950,https://genius.com/The-weavers-and-gordon-jenkins-goodnight-irene-lyrics
1,Mona Lisa,Nat King Cole with Les Baxter,1950,https://genius.com/James-joyce-ulysses-chap-10-wandering-rocks-annotated
2,Third Man Theme,Anton Karas,1950,https://genius.com/Anton-karas-the-third-man-theme-lyrics
3,Sam's Song,Gary & Bing Crosby with Matty Matlock,1950,
4,Play a Simple Melody,Gary & Bing Crosby with Matty Matlock,1950,
5,"Music, Music, Music",Teresa Brewer,1950,https://genius.com/Teresa-brewer-music-music-music-lyrics
6,Third Man Theme,Guy Lombardo,1950,https://genius.com/Guy-lombardo-the-third-man-theme-lyrics
7,Chattanoogie Shoe Shine Boy,Red Foley,1950,https://genius.com/Red-foley-chattanoogie-shoe-shine-boy-lyrics
8,Harbor Lights,Sammy Kaye,1950,https://genius.com/Sammy-kaye-harbor-lights-lyrics
9,It Isn't Fair,Sammy Kaye & Don Cornell,1950,
10,If I Knew You Were Coming I'd have Baked a Cake,Eileen Barton with Morty Craft,1950,
11,Bonaparte's Retreat,Kay Starr with Lou Busch,1950,https://genius.com/Richard-f-burton-arabian-nights-vol-8-chap-4-annotated
12,"Tzena, Tzena, Tzena",Gordon Jenkins & The Weavers,1950,https://genius.com/The-weavers-and-gordon-jenkins-and-his-orchestra-tzena-tzena-tzena-lyrics
13,There's No Tomorrow,Tony Martin with Henri René,1950,https://genius.com/David-foster-wallace-big-red-son-annotated
14,The Thing,Phil Harris with Walter Scharf,1950,https://genius.com/Mark-twain-and-charles-dudley-warner-the-gilded-age-chap-22-annotated
15,Sentimental Me,Ames Brothers,1950,https://genius.com/The-ames-brothers-sentimental-me-lyrics
16,I Wanna Be Loved,Andrews Sisters & Gordon Jenkins,1950,https://genius.com/The-andrews-sisters-i-wanna-be-loved-lyrics
17,Tennessee Waltz,Patti Page,1950,https://genius.com/Patti-page-tennessee-waltz-lyrics
18,"I Can Dream, Can't I",Andrews Sisters & Gordon Jenkins,1950,https://genius.com/Country-genius-folk-songs-from-around-the-world-lyrics
19,I'll Never Be Free,Kay Starr & Tennessee Ernie Ford,1950,https://genius.com/Kay-starr-and-tennessee-ernie-ford-ill-never-be-free-lyrics
20,All My Love,Patti Page,1950,https://genius.com/Patti-page-all-my-love-lyrics
21,My Foolish Heart,Gordon Jenkins,1950,https://genius.com/Gordon-jenkins-my-foolish-heart-lyrics
22,Rag Mop,Ames Brothers,1950,https://genius.com/The-ames-brothers-rag-mop-lyrics
23,Bewitched,Bill Snyder,1950,https://genius.com/Anthony-fantano-every-anthony-fantano-review-annotated
24,Hoop-Dee-Doo,Perry Como & The Fontane Sisters with Mitchell Ayres,1950,
25,Bewitched,Gordon Jenkins,1950,https://genius.com/Anthony-fantano-every-anthony-fantano-review-annotated
26,Can Anyone Explain?,Ames Brothers,1950,https://genius.com/The-ames-brothers-can-anyone-explain-lyrics
27,My Foolish Heart,Billy Eckstine,1950,https://genius.com/Billy-eckstine-my-foolish-heart-lyrics
28,Dear Hearts and Gentle People,Bing Crosby with Judd Conlon and Perry Botkin,1950,
29,The Cry of the Wild Goose,Frankie Laine with Carl T. Fischer,1950,
30,Too Young,Nat King Cole with Les Baxter,1951,https://genius.com/William-shakespeare-the-merry-wives-of-windsor-act-2-scene-1-annotated
31,Because of You,Tony Bennett with Percy Faith,1951,https://genius.com/Quentin-tarantino-django-unchained-script-part-2-annotated
32,How High the Moon,Les Paul and Mary Ford,1951,https://genius.com/Les-paul-and-mary-ford-how-high-the-moon-lyrics
33,Come On-a My House,Rosemary Clooney,1951,https://genius.com/Rosemary-clooney-come-on-a-my-house-lyrics
34,Be My Love,Mario Lanza with Ray Sinatra and Jeff Alexander,1951,
35,On Top of Old Smoky,The Weavers and Terry Gilkyson with Vic Schoen,1951,
